Critical Care and Shock;journal;ISSN 14107767;0,115;Q4;7;10;36;114;3;35;0;11,4;Indonesia
Proceedings of the 26th Pacific Asia Conference on Language, Information and Computation, PACLIC 2012;conference and proceeding;-;0,115;-;3;0;73;0;20;70;0,29;0;Indonesia
Indonesian Journal of Applied Linguistics;journal;ISSN 23019468;0,115;Q3;1;24;46;702;4;46;0,09;29,25;Indonesia
International Journal of Technology;journal;ISSN 20869614;0,114;Q4;3;32;89;536;11;81;0,12;16,75;Indonesia
Agrivita;journal;ISSN 01260537;0,111;Q4;1;34;38;851;2;38;0,05;25,03;Indonesia
Journal of Mathematical and Fundamental Sciences;journal;ISSN 23375760;0,109;Q4;4;31;74;562;15;74;0,24;18,13;Indonesia
Doctoral Student Consortia - Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,105;-;1;0;7;0;0;5;0;0;Indonesia
Biotropia;journal;ISSN 02156334;0,104;Q4;2;11;35;354;2;35;0,04;32,18;Indonesia
Work-in-Progress Poster (WIPP) Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,102;-;1;0;12;0;2;10;0,2;0;Indonesia
Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,101;-;3;0;169;0;23;166;0,14;0;Indonesia
Workshop Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-;0,1;-;2;0;80;0;5;78;0,06;0;Indonesia
Bulletin of Chemical Reaction Engineering and Catalysis;journal;ISSN 19782993;0,297;Q3;6;29;30;699;22;29;0,76;24,1;Indonesia
Acta medica Indonesiana;journal;ISSN 01259326;0,25;Q2;15;56;156;0;124;145;0,87;0;Indonesia
Telkomnika;journal;ISSN 16936930, 2087278X;0,232;Q3;8;102;162;1572;102;160;0,64;15,41;Indonesia
International Journal on Electrical Engineering and Informatics;journal;ISSN 20856830;0,174;Q3;9;40;118;735;72;118;0,57;18,38;Indonesia
Indonesian Journal of Chemistry;journal;ISSN 14119420;0,171;Q4;3;42;45;991;6;42;0,14;23,6;Indonesia
